mrun;anio_beneficio;beneficio_becaofscu
353;2012;BNM
551;2012;BJGM
551;2012;BHPE
797;2012;BET
1716;2012;BNM
1917;2012;BBIC
2130;2012;BNM
2259;2012;BBIC
2302;2012;BNM
2935;2012;BNM
3637;2012;FSCU
3637;2012;BEA
3638;2012;BEA
3760;2012;FSCU
4081;2012;BNM
4203;2012;BBIC
4364;2012;FSCU
4401;2012;BNM
4582;2012;BNM
4855;2012;BJGM
5425;2012;FSCU
5425;2012;BEA
5520;2012;BJGM
5740;2012;BJGM
5857;2012;BEA
5996;2012;BNM
6117;2012;FSCU
6180;2012;BNM
6216;2012;BBIC
6369;2012;BNM
6431;2012;BBIC
6802;2012;BNM
6910;2012;BNM
6968;2012;BBIC
7052;2012;BET
7138;2012;BET
7417;2012;BNM
7589;2012;BNM
7736;2012;BNM
9143;2012;BNM
9707;2012;BNM
9711;2012;BJGM
9920;2012;BET
10146;2012;BBIC
10652;2012;BNM
11029;2012;BJGM
11439;2012;BNM
11439;2012;BHPE
11640;2012;BET
11911;2012;BBIC
11987;2012;BBIC
12709;2012;BNM
12964;2012;BNM
13695;2012;BNM
13737;2012;BNM
13902;2012;BBIC
14205;2012;BNM
14423;2012;BNM
14490;2012;BJGM
15035;2012;BET
15067;2012;FSCU
15138;2012;BNM
15262;2012;BEA
15451;2012;BNM
15529;2012;BNM
15552;2012;BBIC
15567;2012;BNM
15975;2012;FSCU
16089;2012;BNM
16152;2012;BNM
16205;2012;BNM
16229;2012;FSCU
16246;2012;BET
16254;2012;BNM
16338;2012;BNM
16644;2012;BEA
16824;2012;BBIC
16916;2012;FSCU
16917;2012;BNM
17288;2012;BNM
17496;2012;FSCU
17660;2012;FSCU
17908;2012;FSCU
18117;2012;BJGM
18324;2012;BNM
18389;2012;FSCU
18480;2012;BNM
18632;2012;BNM
19103;2012;BNM
19502;2012;BNM
20620;2012;BNM
20711;2012;BNM
20809;2012;FSCU
20865;2012;FSCU
20936;2012;BNM
21052;2012;BNM
21632;2012;BHPE
21679;2012;BJGM
21982;2012;FSCU
22079;2012;BNM
22262;2012;BNM
22424;2012;BNM
22496;2012;FSCU
22496;2012;BHPE
22631;2012;BNM
22935;2012;BET
23341;2012;BJGM
23620;2012;BNM
23905;2012;BJGM
24160;2012;BBIC
24248;2012;BNM
24298;2012;FSCU
24339;2012;BNM
24360;2012;BNM
