mrun;anio_beneficio;beneficio_becaofscu
107;2013;BJGM
269;2013;BNM
310;2013;FSCU
482;2013;BNM
551;2013;BJGM
819;2013;BNM
868;2013;BHPE
903;2013;BBIC
1785;2013;BJGM
1956;2013;BNM
2344;2013;BEA
2344;2013;FSCU
2438;2013;BNM
2589;2013;BNM
2699;2013;BNM
3234;2013;BBIC
3870;2013;BNM
3942;2013;BJGM
4553;2013;BNM
4635;2013;BNM
5154;2013;BBIC
5394;2013;BNM
5990;2013;BBIC
6558;2013;BET
6581;2013;BNM
6631;2013;BNM
6822;2013;BBIC
7175;2013;BNM
7236;2013;BBIC
7440;2013;FSCU
7784;2013;FSCU
7951;2013;BBIC
8135;2013;BNM
8166;2013;BEA
8211;2013;BBIC
8260;2013;BNM
8539;2013;BNM
9235;2013;BNM
9382;2013;BNM
9458;2013;FSCU
9494;2013;BNM
9737;2013;BBIC
10209;2013;BNM
10935;2013;BNM
10984;2013;BNM
10985;2013;BET
11056;2013;BBIC
11244;2013;BNM
11361;2013;BNM
11394;2013;BNM
11765;2013;BNM
11787;2013;BNM
11943;2013;BEA
11943;2013;FSCU
12386;2013;BBIC
12796;2013;BNM
13146;2013;BNM
14035;2013;BNM
14361;2013;BEA
14517;2013;BNM
14625;2013;FSCU
14680;2013;BHPE
14680;2013;BJGM
14985;2013;BBIC
14986;2013;BJGM
15101;2013;BBIC
15265;2013;BNM
15379;2013;BNM
15475;2013;FSCU
15521;2013;BET
15655;2013;BNM
15780;2013;FSCU
15957;2013;BNM
15975;2013;FSCU
16095;2013;BJGM
16344;2013;BNM
16522;2013;BNM
16688;2013;BJGM
17355;2013;BJGM
17478;2013;FSCU
17741;2013;BBIC
18236;2013;BEA
18971;2013;BNM
19297;2013;BBIC
19345;2013;BBIC
19467;2013;FSCU
19549;2013;BBIC
19967;2013;BNM
20679;2013;BET
20684;2013;BNM
21253;2013;BNM
21367;2013;BBIC
21519;2013;BNM
21545;2013;BNM
21593;2013;BJGM
21637;2013;BBIC
22217;2013;BNM
22303;2013;BNM
22327;2013;BNM
22667;2013;BBIC
22744;2013;BET
22793;2013;BBIC
22842;2013;BNM
23178;2013;BNM
23258;2013;BBIC
23266;2013;BNM
23861;2013;BNM
24297;2013;BNM
24303;2013;BBIC
24516;2013;BET
24517;2013;BHPE
24517;2013;FSCU
24839;2013;BNM
24887;2013;BNM
25003;2013;BNM
25034;2013;BBIC
25148;2013;BNM
25183;2013;BBIC
25238;2013;BNM
25469;2013;BBIC
25511;2013;BBIC
25555;2013;BNM
26297;2013;BJGM
26356;2013;BET
26545;2013;BJGM
26585;2013;BBIC
26843;2013;BEA
26843;2013;FSCU
26885;2013;BJGM
27095;2013;BJGM
27159;2013;BNM
27349;2013;BEA
27724;2013;BET
28487;2013;BNM
28663;2013;BNM
28936;2013;BNM
29005;2013;BBIC
29276;2013;BBIC
29279;2013;BNM
29585;2013;BNM
29816;2013;FSCU
29854;2013;BBIC
30079;2013;BNM
30383;2013;BNM
30646;2013;BJGM
30992;2013;BNM
31059;2013;BEA
31133;2013;BBIC
31200;2013;BNM
31465;2013;BBIC
31570;2013;BNM
31718;2013;BBIC
32617;2013;BNM
32746;2013;BJGM
32879;2013;BNM
33096;2013;BJGM
33125;2013;BEA
33372;2013;BNM
33666;2013;BNM
33934;2013;BNM
34141;2013;BNM
35151;2013;BNM
35154;2013;BNM
35454;2013;BNM
35457;2013;BEA
35457;2013;FSCU
35458;2013;BBIC
35524;2013;BHPE
35651;2013;BNM
35861;2013;BNM
36170;2013;FSCU
36238;2013;BNM
36368;2013;BNM
36454;2013;FSCU
36489;2013;BNM
36541;2013;BNM
36782;2013;BBIC
36869;2013;FSCU
36870;2013;BNM
37325;2013;BBIC
37430;2013;BNM
37574;2013;BNM
37663;2013;BBIC
37861;2013;BEA
37889;2013;BNM
37899;2013;BNM
37928;2013;BNM
38066;2013;BNM
38201;2013;BEA
38372;2013;BET
38563;2013;BNM
38822;2013;BNM
38849;2013;BNM
38862;2013;BNM
39022;2013;BNM
39471;2013;BNM
39588;2013;BNM
39623;2013;BBIC
39741;2013;BEA
39850;2013;BEA
39897;2013;BNM
40223;2013;BEA
40223;2013;FSCU
40267;2013;FSCU
40294;2013;BNM
40497;2013;BNM
40603;2013;BNM
40699;2013;BNM
40817;2013;FSCU
40930;2013;FSCU
40931;2013;BBIC
41392;2013;BJGM
41555;2013;BNM
41595;2013;BNM
41640;2013;BBIC
41931;2013;BNM
42169;2013;BEA
42217;2013;BNM
42788;2013;FSCU
42831;2013;BNM
43508;2013;BNM
43537;2013;BHPE
43537;2013;BJGM
43589;2013;BNM
44376;2013;BBIC
44582;2013;BNM
44644;2013;BBIC
44869;2013;BNM
45040;2013;BNM
45415;2013;BBIC
45625;2013;BNM
46402;2013;BNM
46491;2013;BBIC
46912;2013;BJGM
46996;2013;BNM
47151;2013;BNM
47196;2013;BJGM
47197;2013;FSCU
47778;2013;BNM
47927;2013;BNM
47981;2013;BNM
48078;2013;BBIC
48284;2013;BEA
48330;2013;BJGM
48416;2013;BEA
48499;2013;BNM
48589;2013;BJGM
48591;2013;BNM
48683;2013;BNM
48735;2013;BJGM
48770;2013;BNM
48776;2013;BNM
49084;2013;BNM
50146;2013;BNM
50681;2013;BBIC
50831;2013;BJGM
50831;2013;BBIC
51114;2013;FSCU
51135;2013;BNM
51136;2013;BNM
51314;2013;BBIC
51873;2013;BNM
52023;2013;BNM
52278;2013;FSCU
52279;2013;BNM
52538;2013;BNM
52711;2013;BNM
52763;2013;BBIC
53167;2013;BNM
53203;2013;BBIC
53204;2013;BNM
53506;2013;FSCU
53671;2013;BBIC
53988;2013;BNM
54207;2013;FSCU
54243;2013;BBIC
54334;2013;BJGM
54801;2013;BJGM
54933;2013;BJGM
55174;2013;BEA
55174;2013;FSCU
55208;2013;BEA
55393;2013;BJGM
55458;2013;BBIC
55539;2013;BNM
55814;2013;BNM
56040;2013;BNM
56366;2013;BNM
56388;2013;BEA
56393;2013;BNM
56608;2013;BNM
56793;2013;BEA
56970;2013;BNM
57063;2013;BNM
57147;2013;BBIC
57248;2013;BNM
57341;2013;BBIC
57499;2013;BNM
57980;2013;BBIC
58083;2013;BNM
58547;2013;BBIC
58796;2013;BJGM
58821;2013;FSCU
58858;2013;BNM
58872;2013;BNM
58887;2013;BNM
58938;2013;FSCU
59106;2013;BBIC
59155;2013;BBIC
59236;2013;BBIC
59422;2013;BNM
59702;2013;BNM
60472;2013;BBIC
60473;2013;BNM
60479;2013;BET
60509;2013;BNM
60731;2013;BEA
60982;2013;BBIC
61042;2013;BNM
61066;2013;BET
61153;2013;BBIC
61333;2013;BBIC
61587;2013;BNM
62145;2013;BBIC
62175;2013;BBIC
62295;2013;BNM
62385;2013;BBIC
62914;2013;BET
62934;2013;BBIC
62941;2013;FSCU
63443;2013;BEA
63712;2013;BNM
63997;2013;BNM
64010;2013;FSCU
64012;2013;BJGM
64168;2013;BNM
64603;2013;FSCU
64726;2013;BJGM
64875;2013;BNM
65027;2013;BNM
65054;2013;FSCU
65336;2013;BNM
65401;2013;BBIC
65640;2013;BET
66138;2013;BET
66352;2013;BNM
66921;2013;BBIC
67287;2013;BHPE
67287;2013;BJGM
67543;2013;BHPE
67543;2013;FSCU
67597;2013;BNM
67659;2013;BBIC
67712;2013;BET
67878;2013;BNM
68019;2013;BJGM
68344;2013;BNM
68440;2013;BNM
68514;2013;BBIC
68556;2013;FSCU
68641;2013;BNM
69084;2013;BNM
69366;2013;BNM
69759;2013;BEA
69934;2013;BNM
70255;2013;BBIC
70335;2013;BJGM
70908;2013;BJGM
71369;2013;BNM
71512;2013;BNM
71824;2013;BNM
72037;2013;BNM
72271;2013;BNM
72489;2013;BNM
72506;2013;BNM
72581;2013;BNM
73052;2013;BJGM
73140;2013;BEA
73651;2013;BNM
73915;2013;BNM
74011;2013;BET
74075;2013;BBIC
74349;2013;BJGM
74574;2013;BJGM
75318;2013;BNM
75563;2013;FSCU
75963;2013;BBIC
75993;2013;BEA
75993;2013;FSCU
76055;2013;BNM
76641;2013;BJGM
76862;2013;BNM
77020;2013;BBIC
77227;2013;BBIC
77271;2013;FSCU
77397;2013;BEA
77397;2013;BHPE
77519;2013;BET
77520;2013;BNM
77561;2013;BNM
77814;2013;BJGM
78008;2013;BJGM
78098;2013;BBIC
78290;2013;BNM
78737;2013;BNM
78751;2013;BNM
78900;2013;BET
78905;2013;BBIC
79193;2013;BNM
79194;2013;BNM
79983;2013;BNM
80102;2013;BNM
80241;2013;BNM
80530;2013;BEA
80617;2013;BJGM
80714;2013;BNM
81029;2013;BNM
81030;2013;FSCU
81145;2013;BNM
81216;2013;BNM
81337;2013;BNM
81484;2013;BNM
81969;2013;BJGM
82053;2013;BBIC
82324;2013;BBIC
83368;2013;BNM
83507;2013;BNM
83768;2013;BBIC
84085;2013;BNM
84580;2013;BNM
84684;2013;BBIC
84695;2013;BNM
84751;2013;BNM
85339;2013;BNM
85817;2013;BNM
86249;2013;BNM
86527;2013;BBIC
86687;2013;BNM
86915;2013;BNM
87612;2013;BNM
87630;2013;BNM
87748;2013;BBIC
87806;2013;BNM
87822;2013;BBIC
88094;2013;BEA
88095;2013;BEA
88431;2013;BNM
88487;2013;BNM
88516;2013;BEA
88562;2013;BNM
88970;2013;BNM
89291;2013;BBIC
89474;2013;BJGM
89543;2013;BEA
89543;2013;FSCU
89599;2013;FSCU
89863;2013;FSCU
90097;2013;BBIC
90655;2013;BNM
91102;2013;BNM
91213;2013;BNM
91333;2013;BNM
91573;2013;BNM
91615;2013;BEA
91615;2013;FSCU
91700;2013;BHPE
91700;2013;FSCU
91753;2013;BNM
91826;2013;FSCU
91826;2013;BNM
92029;2013;BNM
92359;2013;BBIC
92468;2013;BNM
92529;2013;BNM
92630;2013;BNM
92911;2013;BNM
93056;2013;FSCU
93067;2013;BNM
93754;2013;BBIC
93839;2013;BET
93979;2013;BBIC
93993;2013;BNM
94009;2013;BJGM
94307;2013;BBIC
94341;2013;BJGM
94568;2013;BNM
94597;2013;BJGM
94727;2013;BNM
94845;2013;FSCU
95022;2013;BJGM
95093;2013;BNM
95105;2013;BNM
96710;2013;FSCU
97107;2013;BBIC
97145;2013;BNM
97200;2013;BNM
97350;2013;BBIC
97550;2013;FSCU
97551;2013;BNM
97915;2013;BNM
97928;2013;BNM
98029;2013;BHPE
98029;2013;FSCU
98651;2013;FSCU
98695;2013;BBIC
98968;2013;BHPE
98968;2013;FSCU
98989;2013;BNM
99475;2013;BJGM
99644;2013;BEA
100624;2013;BNM
100625;2013;BBIC
100714;2013;BJGM
101190;2013;BEA
101899;2013;BNM
102065;2013;BNM
102147;2013;BBIC
102776;2013;FSCU
102844;2013;BET
102909;2013;BNM
103044;2013;FSCU
103110;2013;BNM
103274;2013;BJGM
103640;2013;BBIC
103740;2013;BNM
104347;2013;BET
104690;2013;BNM
104823;2013;BJGM
104947;2013;BBIC
104948;2013;BJGM
105029;2013;BBIC
105076;2013;BEA
105167;2013;BHPE
105167;2013;FSCU
105468;2013;BNM
105584;2013;BBIC
105986;2013;BNM
107063;2013;BBIC
107064;2013;BBIC
107193;2013;BNM
107358;2013;BNM
107498;2013;BNM
107647;2013;BNM
108247;2013;BBIC
108358;2013;BNM
108513;2013;BJGM
108659;2013;BNM
108746;2013;BNM
109086;2013;BNM
109168;2013;BNM
109415;2013;BJGM
109533;2013;BET
109633;2013;BNM
109828;2013;BNM
109943;2013;BNM
110018;2013;BBIC
110043;2013;BNM
110111;2013;BJGM
110264;2013;BHPE
110417;2013;FSCU
110417;2013;BNM
110914;2013;BHPE
110914;2013;BJGM
111034;2013;BNM
111256;2013;BNM
111334;2013;BBIC
111592;2013;BNM
112147;2013;BET
112281;2013;BNM
112692;2013;BHPE
112692;2013;BJGM
112939;2013;BEA
113195;2013;BBIC
113237;2013;BNM
113697;2013;BBIC
113825;2013;BNM
114033;2013;BJGM
114034;2013;BBIC
114264;2013;BNM
114339;2013;BNM
114770;2013;BBIC
115106;2013;BBIC
115207;2013;BNM
115459;2013;BBIC
115903;2013;FSCU
116003;2013;BNM
116221;2013;BBIC
116582;2013;BNM
116656;2013;BET
116660;2013;BNM
116858;2013;BNM
117159;2013;BJGM
117621;2013;BJGM
117886;2013;FSCU
117887;2013;BEA
117887;2013;FSCU
118005;2013;BNM
118021;2013;BNM
118451;2013;BNM
118636;2013;BBIC
118673;2013;BBIC
118709;2013;BNM
118866;2013;BHPE
118866;2013;FSCU
118867;2013;BET
119332;2013;BBIC
119446;2013;BEA
120053;2013;BNM
120171;2013;BNM
120632;2013;BNM
120794;2013;BNM
120956;2013;BNM
121183;2013;FSCU
121234;2013;BET
121263;2013;BEA
121263;2013;BHPE
121411;2013;BBIC
122006;2013;BNM
122095;2013;BNM
122774;2013;BJGM
124045;2013;BNM
124071;2013;BNM
124072;2013;BNM
124081;2013;BNM
124107;2013;BEA
124107;2013;FSCU
124154;2013;BJGM
124385;2013;BNM
125005;2013;BET
125069;2013;BNM
125090;2013;BEA
125155;2013;BNM
125156;2013;BBIC
125755;2013;FSCU
125766;2013;BBIC
125979;2013;FSCU
125980;2013;BET
125980;2013;FSCU
126384;2013;BJGM
126903;2013;BJGM
127001;2013;BJGM
127553;2013;BNM
127554;2013;BBIC
127637;2013;BET
127651;2013;BET
127854;2013;BBIC
127855;2013;BNM
128148;2013;BET
128361;2013;BBIC
128741;2013;BBIC
128742;2013;BNM
129124;2013;BNM
129315;2013;BEA
129316;2013;BJGM
129317;2013;FSCU
129375;2013;BJGM
129486;2013;BBIC
129579;2013;BNM
129688;2013;BBIC
129824;2013;BEA
129824;2013;BHPE
130330;2013;BNM
130404;2013;BNM
131181;2013;BJGM
131299;2013;BNM
131413;2013;BNM
131516;2013;BNM
131746;2013;BNM
131975;2013;BNM
132419;2013;BNM
132953;2013;BEA
133141;2013;BBIC
133242;2013;BBIC
133795;2013;BNM
134011;2013;BNM
134035;2013;BBIC
134036;2013;BEA
134219;2013;BNM
134539;2013;BNM
134577;2013;BNM
134625;2013;BNM
134691;2013;FSCU
134812;2013;BNM
134821;2013;BNM
134855;2013;BNM
135211;2013;BNM
135291;2013;BNM
135576;2013;BNM
136030;2013;BBIC
136063;2013;BHPE
136063;2013;BNM
136100;2013;BNM
136352;2013;BNM
136394;2013;FSCU
136610;2013;BEA
136641;2013;BNM
136642;2013;BHPE
137001;2013;BEA
137001;2013;FSCU
137265;2013;BNM
137295;2013;BJGM
137507;2013;BBIC
137942;2013;BNM
137943;2013;BJGM
138199;2013;BBIC
138528;2013;BNM
138821;2013;BBIC
138946;2013;BBIC
139044;2013;BNM
139148;2013;BNM
139224;2013;BBIC
139408;2013;BBIC
139433;2013;BET
139610;2013;BNM
139711;2013;BNM
139734;2013;BNM
139987;2013;BJGM
140700;2013;BNM
140729;2013;BBIC
140866;2013;BNM
141022;2013;BNM
141124;2013;BBIC
141402;2013;FSCU
141403;2013;BNM
141440;2013;BJGM
141733;2013;BNM
142061;2013;BBIC
142199;2013;FSCU
142668;2013;BNM
143033;2013;BBIC
143123;2013;BNM
143550;2013;BNM
143941;2013;BNM
144141;2013;BNM
144362;2013;BBIC
144363;2013;BBIC
144386;2013;BNM
144759;2013;BNM
144789;2013;BJGM
144821;2013;BBIC
144942;2013;FSCU
145346;2013;BNM
145484;2013;BBIC
145922;2013;BNM
145923;2013;BNM
146010;2013;BEA
146010;2013;FSCU
146173;2013;BBIC
146174;2013;BNM
146385;2013;BBIC
146386;2013;BEA
146976;2013;BJGM
147068;2013;BNM
147686;2013;BEA
148011;2013;BNM
148062;2013;BNM
148223;2013;BBIC
148482;2013;BNM
148639;2013;BNM
148968;2013;BBIC
148969;2013;BJGM
148975;2013;BNM
149177;2013;BNM
149262;2013;BNM
149304;2013;BJGM
149711;2013;BNM
149727;2013;BNM
149841;2013;BET
150359;2013;BBIC
150409;2013;BBIC
150491;2013;BBIC
150498;2013;BET
150715;2013;FSCU
150786;2013;BBIC
150803;2013;BET
150930;2013;BJGM
151078;2013;BNM
151351;2013;BNM
151751;2013;BNM
151821;2013;BBIC
151855;2013;BHPE
152043;2013;BNM
152382;2013;BNM
152642;2013;BNM
152751;2013;BBIC
152838;2013;BNM
153129;2013;BBIC
153188;2013;BNM
153870;2013;BNM
153998;2013;BNM
154258;2013;BNM
154297;2013;BNM
154322;2013;BNM
154685;2013;BJGM
154801;2013;BBIC
155181;2013;BNM
155209;2013;BNM
155278;2013;BBIC
155338;2013;BNM
155366;2013;BNM
155677;2013;BJGM
155940;2013;BEA
156066;2013;BNM
156503;2013;BBIC
156527;2013;BNM
156703;2013;BHPE
156703;2013;FSCU
156704;2013;BBIC
156792;2013;BNM
156967;2013;BEA
157475;2013;BBIC
157887;2013;BNM
157955;2013;FSCU
158056;2013;BNM
158246;2013;BJGM
158628;2013;BNM
158652;2013;BBIC
158685;2013;BNM
158686;2013;BNM
158961;2013;BJGM
159114;2013;BBIC
159431;2013;BNM
159462;2013;BBIC
159622;2013;BBIC
159667;2013;BNM
159786;2013;BNM
160339;2013;BNM
160721;2013;BJGM
160727;2013;BBIC
160758;2013;BBIC
160941;2013;BNM
161599;2013;BJGM
162228;2013;FSCU
162315;2013;BNM
162323;2013;BNM
162506;2013;BNM
162613;2013;BNM
162884;2013;BHPE
162884;2013;FSCU
163018;2013;BNM
163244;2013;BNM
163630;2013;BNM
163999;2013;BBIC
164587;2013;BET
164701;2013;BBIC
164702;2013;BBIC
164984;2013;BNM
165042;2013;BNM
165802;2013;FSCU
166556;2013;BBIC
166576;2013;BNM
166680;2013;BNM
166698;2013;BNM
166900;2013;BEA
167179;2013;BJGM
167329;2013;BNM
167467;2013;BNM
168655;2013;BNM
168675;2013;BBIC
168950;2013;BBIC
169052;2013;BEA
169184;2013;BNM
169302;2013;FSCU
169508;2013;BBIC
169690;2013;BNM
170427;2013;BNM
170541;2013;BNM
170801;2013;BBIC
170921;2013;BBIC
171341;2013;FSCU
171802;2013;BNM
171938;2013;BNM
171956;2013;BNM
172061;2013;BJGM
172171;2013;FSCU
172410;2013;BNM
172411;2013;BNM
172634;2013;BNM
172765;2013;FSCU
172776;2013;BBIC
172796;2013;BNM
173074;2013;BNM
173563;2013;BNM
173812;2013;BNM
174178;2013;BET
174263;2013;BBIC
174316;2013;BNM
174536;2013;BJGM
174615;2013;BJGM
174696;2013;BBIC
174697;2013;BNM
174946;2013;BNM
174983;2013;BNM
174988;2013;FSCU
175917;2013;BBIC
176098;2013;BBIC
176114;2013;BNM
177013;2013;BET
177084;2013;BNM
177157;2013;BJGM
177300;2013;BNM
177354;2013;BNM
177545;2013;BEA
177545;2013;BHPE
177545;2013;FSCU
177644;2013;BNM
177765;2013;BBIC
177880;2013;BNM
177926;2013;BJGM
178326;2013;BBIC
178415;2013;BNM
178549;2013;BNM
178825;2013;BNM
179709;2013;FSCU
180291;2013;BEA
180291;2013;FSCU
